document_name,query,codes
CA_S_20_1400,"This bill would enact the Accessory Dwelling Unit Construction Bond Act of 2020 (bond act), which, if adopted, would authorize the issuance of bonds in the amount of $500,000,000 pursuant to the State General Obligation Bond Law to finance the Accessory Dwelling Unit Construction Program, established as part of the bond act. The bill would authorize the Department of Housing and Community Development to enter into a contract under that program with a homeowner to provide financing to pay for the eligible costs incurred by the homeowner in constructing an accessory dwelling unit on the homeowner's property, subject to specified terms and conditions. The bill would require that moneys received from a homeowner for the repayment of financing provided under the program to be used to pay debt service when due on bonds issued pursuant to the bond act","['ADU', 'Homeowners', 'Budget Amount Allocated', 'Increasing Loan Access']"
CA_S_20_1400,"This bill would provide for submission of the Accessory Dwelling Unit Bond Act of 2020 to the voters at the next statewide general election following its effective date, in accordance with specified law.",['Voter Referendum']
CA_S_20_1400,SEC. 3. Section 1 of this act shall be submitted to the voters at the next statewide election in accordance with provisions of the Government Code and the Elections Code governing the submission of a statewide measure to the voters.,['Voter Referendum']
CA_S_20_1400,"(a) To make and execute contracts and all other instruments necessary or convenient for the exercise of its powers and functions under this chapter with any governmental agency, private corporation, or other entity or individual. 

(b) To determine the terms and conditions of any mortgage instrument, deed of trust, or promissory note used or executed in conjunction with financing pursuant to this chapter.",['nan']
CA_S_20_1400,"d) To provide advice, technical information, and consultative and technical service in connection with financing pursuant to this division.",['Technical Assistance']
CA_S_20_1400,54120. (a) The department may enter into a contract with a homeowner to provide financing to pay for the eligible costs incurred by the homeowner in constructing an accessory dwelling unit on the homeowner's property.,"['Increasing Funding', 'Homeowners']"
CA_S_20_1400,"(a) ""Accessory dwelling unit"" means an attached or a detached residential dwelling unit which provides complete independent living facilities for one or more persons and includes permanent provisions for living, sleeping, eating, cooking, and sanitation on the same parcel as the single- family dwelling is situated. For purposes of this division, ""accessory dwelling unit"" includes the following:","['Definition', 'ADU']"
CT_H_21_6521,"Such regulations shall also encourage the development of housing opportunities, by including opportunities for multifamily dwellings, consistent with soil types, terrain and infrastructure capacity, and by allowing accessory dwelling units by right for all residents of the municipality and the planning region in which the

municipality is located, as designated by the Secretary of the Office of Policy and Management under section 16a-4a","['ADU', 'Zoning']"
CT_H_21_6521,"The zoning commission of each city, town or borough is authorized to regulate, within the limits of such municipality, the height, number of stories and size of buildings and other structures; the percentage of the area of the lot that may be occupied; the size of yards, courts and other open spaces; the density of population and the location and use of buildings, structures and land for trade, industry, residence or other purposes, including water-dependent uses, as defined in section 22a-93, and the height, size, location, brightness and illumination of advertising signs and billboards.",['Local Gov']
CT_H_21_6521,"Any zoning regulations adopted pursuant to section 8-2 of the general statutes, as amended by this act, concerning accessory dwelling units, as defined in section 8-1aa, of the general statutes, as amended by this act: 

(1) Shall allow one accessory dwelling unit by right without additional requirements for lot size, lot coverage, frontage, space limitations or other controls beyond what is required for a single-family dwelling without an accessory dwelling unit; provided, a municipality shall not be required to allow more than one accessory dwelling unit for any single-family dwelling. An accessory dwelling unit may qualify for housing unit-equivalent points for purposes of satisfying a municipality's obligation under subsection (l) of section 8-30g of the general statutes, as amended by this act, if the unit meets the criteria of subdivision (6) of subsection (l) of section 8-30g of the general statutes, as amended by this act, for rental units.","['Zoning', 'Local Gov', 'ADU']"
